Date,Heure,Type,Hauteur d'eau,Coef
2026-06-01,17:04,Haute Mer,4.062,82
2026-06-01,23:17,Basse Mer,0.920,75
2026-06-02,05:23,Haute Mer,3.838,69
2026-06-02,11:28,Basse Mer,1.012,74
2026-06-02,17:36,Haute Mer,4.024,79
2026-06-02,23:53,Basse Mer,0.962,72
2026-06-03,05:56,Haute Mer,3.766,65
2026-06-03,12:03,Basse Mer,1.081,70
2026-06-03,18:10,Haute Mer,3.957,76
2026-06-04,00:29,Basse Mer,1.023,67
2026-06-04,06:31,Haute Mer,3.675,60
2026-06-04,12:39,Basse Mer,1.162,65
2026-06-04,18:48,Haute Mer,3.867,70
2026-06-05,01:07,Basse Mer,1.097,62
2026-06-05,07:10,Haute Mer,3.575,54
2026-06-05,13:18,Basse Mer,1.250,59
2026-06-05,19:29,Haute Mer,3.765,65
2026-06-06,01:48,Basse Mer,1.174,56
2026-06-06,07:54,Haute Mer,3.482,49
2026-06-06,14:01,Basse Mer,1.334,54
2026-06-06,20:15,Haute Mer,3.672,59
2026-06-07,02:34,Basse Mer,1.241,52
2026-06-07,08:43,Haute Mer,3.412,45
2026-06-07,14:51,Basse Mer,1.401,50
2026-06-07,21:07,Haute Mer,3.610,56
2026-06-08,03:28,Basse Mer,1.282,49
2026-06-08,09:39,Haute Mer,3.386,43
2026-06-08,15:49,Basse Mer,1.432,49
2026-06-08,22:05,Haute Mer,3.596,55
2026-06-09,04:29,Basse Mer,1.282,50
2026-06-09,10:43,Haute Mer,3.424,45
2026-06-09,16:53,Basse Mer,1.407,51
2026-06-09,23:08,Haute Mer,3.642,58
2026-06-10,05:34,Basse Mer,1.225,55
2026-06-10,11:50,Haute Mer,3.540,52
2026-06-10,18:02,Basse Mer,1.309,58
2026-06-11,00:16,Haute Mer,3.752,64
2026-06-11,06:39,Basse Mer,1.118,63
2026-06-11,12:56,Haute Mer,3.727,63
2026-06-11,19:09,Basse Mer,1.144,68
2026-06-12,01:23,Haute Mer,3.914,73
2026-06-12,07:40,Basse Mer,0.982,74
2026-06-12,13:56,Haute Mer,3.948,75
2026-06-12,20:11,Basse Mer,0.944,79
2026-06-13,02:25,Haute Mer,4.090,83
2026-06-13,08:38,Basse Mer,0.847,85
2026-06-13,14:52,Haute Mer,4.163,87
2026-06-13,21:08,Basse Mer,0.748,89
2026-06-14,03:22,Haute Mer,4.235,91
2026-06-14,09:31,Basse Mer,0.740,94
2026-06-14,15:45,Haute Mer,4.341,98
2026-06-14,22:02,Basse Mer,0.591,97
2026-06-15,04:15,Haute Mer,4.316,96
2026-06-15,10:22,Basse Mer,0.675,100
2026-06-15,16:36,Haute Mer,4.458,104
2026-06-15,22:54,Basse Mer,0.493,100
2026-06-16,05:07,Haute Mer,4.320,96
2026-06-16,11:11,Basse Mer,0.660,101
2026-06-16,17:26,Haute Mer,4.501,107
2026-06-16,23:44,Basse Mer,0.466,99
2026-06-17,05:56,Haute Mer,4.250,92
2026-06-17,11:59,Basse Mer,0.691,98
2026-06-17,18:15,Haute Mer,4.466,105
2026-06-18,00:33,Basse Mer,0.510,95
2026-06-18,06:45,Haute Mer,4.124,85
2026-06-18,12:47,Basse Mer,0.762,92
2026-06-18,19:03,Haute Mer,4.360,99
2026-06-19,01:21,Basse Mer,0.616,87
2026-06-19,07:34,Haute Mer,3.961,76
2026-06-19,13:34,Basse Mer,0.863,82
2026-06-19,19:52,Haute Mer,4.198,89
2026-06-20,02:10,Basse Mer,0.765,78
2026-06-20,08:23,Haute Mer,3.786,66
2026-06-20,14:23,Basse Mer,0.986,72
2026-06-20,20:43,Haute Mer,4.000,78
2026-06-21,03:00,Basse Mer,0.936,67
2026-06-21,09:15,Haute Mer,3.621,56
2026-06-21,15:14,Basse Mer,1.120,61
2026-06-21,21:37,Haute Mer,3.792,66
2026-06-22,03:54,Basse Mer,1.101,58
2026-06-22,10:13,Haute Mer,3.490,49
2026-06-22,16:10,Basse Mer,1.246,52
2026-06-22,22:38,Haute Mer,3.606,56
2026-06-23,04:51,Basse Mer,1.231,50
2026-06-23,11:17,Haute Mer,3.421,45
2026-06-23,17:13,Basse Mer,1.332,47
2026-06-23,23:44,Haute Mer,3.478,48
2026-06-24,05:52,Basse Mer,1.303,47
2026-06-24,12:20,Haute Mer,3.429,46
2026-06-24,18:19,Basse Mer,1.353,46
2026-06-25,00:49,Haute Mer,3.429,46
2026-06-25,06:51,Basse Mer,1.312,47
2026-06-25,13:18,Haute Mer,3.500,50
2026-06-25,19:20,Basse Mer,1.312,48
2026-06-26,01:47,Haute Mer,3.454,47
2026-06-26,07:45,Basse Mer,1.274,51
2026-06-26,14:10,Haute Mer,3.609,56
2026-06-26,20:14,Basse Mer,1.236,54
2026-06-27,02:38,Haute Mer,3.527,51
2026-06-27,08:34,Basse Mer,1.211,57
2026-06-27,14:57,Haute Mer,3.732,63
2026-06-27,21:02,Basse Mer,1.147,60
2026-06-28,03:23,Haute Mer,3.619,56
2026-06-28,09:18,Basse Mer,1.142,63
2026-06-28,15:38,Haute Mer,3.848,69
2026-06-28,21:45,Basse Mer,1.061,65
2026-06-29,04:02,Haute Mer,3.704,61
2026-06-29,09:59,Basse Mer,1.079,68
2026-06-29,16:15,Haute Mer,3.945,75
2026-06-29,22:25,Basse Mer,0.986,70
2026-06-30,04:38,Haute Mer,3.769,65
2026-06-30,10:36,Basse Mer,1.027,72
2026-06-30,16:49,Haute Mer,4.014,79
2026-06-30,23:03,Basse Mer,0.930,73
2026-07-01,05:11,Haute Mer,3.804,67
2026-07-01,11:13,Basse Mer,0.993,74
2026-07-01,17:24,Haute Mer,4.049,81
2026-07-01,23:40,Basse Mer,0.895,74
2026-07-02,05:45,Haute Mer,3.807,67
2026-07-02,11:50,Basse Mer,0.978,74
2026-07-02,17:58,Haute Mer,4.047,81
2026-07-03,00:17,Basse Mer,0.884,73
2026-07-03,06:20,Haute Mer,3.779,65
2026-07-03,12:27,Basse Mer,0.984,72
2026-07-03,18:35,Haute Mer,4.010,79
2026-07-04,00:54,Basse Mer,0.897,70
2026-07-04,06:56,Haute Mer,3.728,63
2026-07-04,13:05,Basse Mer,1.011,69
2026-07-04,19:13,Haute Mer,3.947,75
2026-07-05,01:32,Basse Mer,0.928,67
2026-07-05,07:35,Haute Mer,3.666,59
2026-07-05,13:44,Basse Mer,1.055,65
2026-07-05,19:54,Haute Mer,3.871,71
2026-07-06,02:12,Basse Mer,0.976,63
2026-07-06,08:17,Haute Mer,3.601,55
2026-07-06,14:27,Basse Mer,1.114,61
2026-07-06,20:38,Haute Mer,3.791,66
2026-07-07,02:57,Basse Mer,1.040,59
2026-07-07,09:05,Haute Mer,3.545,52
2026-07-07,15:15,Basse Mer,1.183,57
2026-07-07,21:29,Haute Mer,3.716,62
2026-07-08,03:48,Basse Mer,1.116,56
2026-07-08,10:01,Haute Mer,3.511,50
2026-07-08,16:12,Basse Mer,1.249,54
2026-07-08,22:28,Haute Mer,3.656,58
2026-07-09,04:50,Basse Mer,1.184,55
2026-07-09,11:06,Haute Mer,3.522,51
2026-07-09,17:21,Basse Mer,1.275,54
2026-07-09,23:38,Haute Mer,3.635,57
2026-07-10,06:00,Basse Mer,1.203,56
2026-07-10,12:19,Haute Mer,3.607,56
2026-07-10,18:36,Basse Mer,1.213,58
2026-07-11,00:54,Haute Mer,3.689,60
2026-07-11,07:09,Basse Mer,1.154,63
2026-07-11,13:29,Haute Mer,3.772,65
2026-07-11,19:47,Basse Mer,1.063,67
2026-07-12,02:07,Haute Mer,3.826,68
2026-07-12,08:15,Basse Mer,1.045,73
2026-07-12,14:36,Haute Mer,3.996,78
2026-07-12,20:53,Basse Mer,0.863,78
2026-07-13,03:12,Haute Mer,4.007,78
2026-07-13,09:15,Basse Mer,0.901,85
2026-07-13,15:35,Haute Mer,4.236,92
2026-07-13,21:52,Basse Mer,0.657,90
2026-07-14,04:08,Haute Mer,4.170,88
2026-07-14,10:10,Basse Mer,0.753,95
2026-07-14,16:28,Haute Mer,4.439,103
2026-07-14,22:45,Basse Mer,0.489,98
2026-07-15,04:58,Haute Mer,4.271,94
2026-07-15,11:00,Basse Mer,0.634,102
2026-07-15,17:17,Haute Mer,4.562,110
2026-07-15,23:33,Basse Mer,0.397,102
2026-07-16,05:44,Haute Mer,4.288,95
2026-07-16,11:46,Basse Mer,0.571,103
2026-07-16,18:02,Haute Mer,4.579,111
2026-07-17,00:18,Basse Mer,0.398,101
2026-07-17,06:27,Haute Mer,4.224,91
2026-07-17,12:30,Basse Mer,0.577,98
2026-07-17,18:44,Haute Mer,4.489,106
2026-07-18,01:00,Basse Mer,0.489,95
2026-07-18,07:08,Haute Mer,4.092,83
2026-07-18,13:12,Basse Mer,0.657,89
2026-07-18,19:25,Haute Mer,4.309,96
2026-07-19,01:42,Basse Mer,0.653,84
2026-07-19,07:48,Haute Mer,3.916,73
2026-07-19,13:53,Basse Mer,0.804,78
2026-07-19,20:05,Haute Mer,4.065,82
2026-07-20,02:22,Basse Mer,0.869,72
2026-07-20,08:29,Haute Mer,3.718,62
2026-07-20,14:35,Basse Mer,1.002,64
2026-07-20,20:47,Haute Mer,3.788,66
2026-07-21,03:05,Basse Mer,1.107,58
2026-07-21,09:13,Haute Mer,3.518,51
2026-07-21,15:20,Basse Mer,1.227,50
2026-07-21,21:32,Haute Mer,3.510,50
2026-07-22,03:54,Basse Mer,1.338,45
2026-07-22,10:07,Haute Mer,3.345,41
2026-07-22,16:17,Basse Mer,1.439,39
2026-07-22,22:31,Haute Mer,3.269,36
2026-07-23,04:56,Basse Mer,1.515,36
2026-07-23,11:22,Haute Mer,3.243,35
2026-07-23,17:31,Basse Mer,1.570,32
2026-07-24,06:07,Basse Mer,1.587,32
2026-07-24,12:40,Haute Mer,3.260,36
2026-07-24,18:48,Basse Mer,1.563,33
2026-07-25,01:20,Haute Mer,3.156,30
2026-07-25,07:14,Basse Mer,1.548,36
2026-07-25,13:44,Haute Mer,3.379,43
2026-07-25,19:52,Basse Mer,1.458,40
2026-07-26,02:21,Haute Mer,3.288,37
2026-07-26,08:11,Basse Mer,1.438,45
2026-07-26,14:37,Haute Mer,3.556,53
2026-07-26,20:45,Basse Mer,1.307,50
2026-07-27,03:09,Haute Mer,3.467,48
2026-07-27,08:59,Basse Mer,1.295,55
2026-07-27,15:22,Haute Mer,3.752,64
2026-07-27,21:30,Basse Mer,1.144,61
2026-07-28,03:48,Haute Mer,3.647,58
2026-07-28,09:41,Basse Mer,1.144,66
2026-07-28,15:59,Haute Mer,3.935,74
2026-07-28,22:10,Basse Mer,0.990,71
2026-07-29,04:23,Haute Mer,3.800,67
2026-07-29,10:20,Basse Mer,1.004,75
2026-07-29,16:34,Haute Mer,4.087,83
2026-07-29,22:47,Basse Mer,0.858,78
2026-07-30,04:55,Haute Mer,3.911,73
2026-07-30,10:57,Basse Mer,0.888,81
2026-07-30,17:07,Haute Mer,4.191,89
2026-07-30,23:22,Basse Mer,0.759,83
2026-07-31,05:27,Haute Mer,3.973,77
2026-07-31,11:33,Basse Mer,0.806,84
2026-07-31,17:41,Haute Mer,4.239,92
2026-08-01,06:01,Haute Mer,3.985,77
2026-08-01,12:09,Basse Mer,0.766,84
2026-08-01,18:16,Haute Mer,4.230,91
2026-08-02,00:33,Basse Mer,0.684,83
2026-08-02,06:36,Haute Mer,3.953,75
2026-08-02,12:46,Basse Mer,0.771,82
2026-08-02,18:52,Haute Mer,4.170,88
2026-08-03,01:10,Basse Mer,0.714,80
2026-08-03,07:12,Haute Mer,3.887,72
2026-08-03,13:23,Basse Mer,0.820,77
2026-08-03,19:30,Haute Mer,4.068,82
2026-08-04,01:47,Basse Mer,0.790,74
2026-08-04,07:51,Haute Mer,3.796,66
2026-08-04,14:02,Basse Mer,0.911,70
2026-08-04,20:11,Haute Mer,3.932,74
2026-08-05,02:27,Basse Mer,0.915,67
2026-08-05,08:34,Haute Mer,3.688,60
2026-08-05,14:46,Basse Mer,1.044,63
2026-08-05,20:59,Haute Mer,3.770,65
2026-08-06,03:14,Basse Mer,1.084,59
2026-08-06,09:27,Haute Mer,3.574,54
2026-08-06,15:39,Basse Mer,1.203,54
2026-08-06,21:57,Haute Mer,3.598,55
2026-08-07,04:15,Basse Mer,1.266,52
2026-08-07,10:33,Haute Mer,3.490,49
2026-08-07,16:52,Basse Mer,1.332,48
2026-08-07,23:13,Haute Mer,3.471,48
2026-08-08,05:31,Basse Mer,1.380,49
2026-08-08,11:55,Haute Mer,3.505,50
2026-08-08,18:17,Basse Mer,1.326,49
2026-08-09,00:43,Haute Mer,3.487,49
2026-08-09,06:50,Basse Mer,1.351,54
2026-08-09,13:18,Haute Mer,3.672,59
2026-08-09,19:36,Basse Mer,1.160,59
2026-08-10,02:03,Haute Mer,3.675,60
2026-08-10,08:02,Basse Mer,1.192,67
2026-08-10,14:29,Haute Mer,3.957,76
2026-08-10,20:45,Basse Mer,0.904,75
2026-08-11,03:07,Haute Mer,3.942,75
2026-08-11,09:05,Basse Mer,0.958,84
2026-08-11,15:27,Haute Mer,4.273,94
2026-08-11,21:42,Basse Mer,0.641,91
2026-08-12,03:58,Haute Mer,4.186,89
2026-08-12,09:58,Basse Mer,0.721,98
2026-08-12,16:17,Haute Mer,4.532,108
2026-08-12,22:31,Basse Mer,0.439,103
2026-08-13,04:43,Haute Mer,4.347,98
2026-08-13,10:45,Basse Mer,0.539,107
2026-08-13,17:00,Haute Mer,4.676,117
2026-08-13,23:15,Basse Mer,0.337,109
2026-08-14,05:24,Haute Mer,4.401,101
2026-08-14,11:27,Basse Mer,0.447,109
2026-08-14,17:40,Haute Mer,4.686,117
2026-08-14,23:55,Basse Mer,0.347,108
2026-08-15,06:02,Haute Mer,4.355,98
2026-08-15,12:06,Basse Mer,0.457,104
2026-08-15,18:18,Haute Mer,4.570,111
2026-08-16,00:32,Basse Mer,0.458,101
2026-08-16,06:37,Haute Mer,4.227,91
2026-08-16,12:43,Basse Mer,0.565,95
2026-08-16,18:53,Haute Mer,4.358,99
2026-08-17,01:08,Basse Mer,0.649,89
2026-08-17,07:11,Haute Mer,4.044,81
2026-08-17,13:19,Basse Mer,0.753,82
2026-08-17,19:26,Haute Mer,4.086,83
2026-08-18,01:42,Basse Mer,0.892,76
2026-08-18,07:44,Haute Mer,3.829,68
2026-08-18,13:55,Basse Mer,0.997,67
2026-08-18,19:58,Haute Mer,3.786,66
2026-08-19,02:17,Basse Mer,1.164,61
2026-08-19,08:19,Haute Mer,3.603,55
2026-08-19,14:31,Basse Mer,1.271,52
2026-08-19,20:34,Haute Mer,3.484,49
2026-08-20,02:55,Basse Mer,1.440,46
2026-08-20,09:00,Haute Mer,3.381,43
2026-08-20,15:16,Basse Mer,1.545,38
2026-08-20,21:18,Haute Mer,3.204,33
2026-08-21,03:45,Basse Mer,1.692,32
2026-08-21,09:58,Haute Mer,3.193,32
2026-08-21,16:28,Basse Mer,1.765,26
2026-08-21,22:26,Haute Mer,2.987,20
2026-08-22,05:13,Basse Mer,1.843,24
2026-08-22,11:51,Haute Mer,3.128,28
2026-08-22,18:19,Basse Mer,1.783,25
2026-08-23,00:56,Haute Mer,2.999,21
2026-08-23,06:46,Basse Mer,1.789,28
2026-08-23,13:18,Haute Mer,3.266,36
2026-08-23,19:32,Basse Mer,1.626,34
2026-08-24,02:02,Haute Mer,3.200,32
2026-08-24,07:50,Basse Mer,1.613,41
2026-08-24,14:15,Haute Mer,3.500,50
2026-08-24,20:25,Basse Mer,1.412,48
2026-08-25,02:49,Haute Mer,3.456,47
2026-08-25,08:39,Basse Mer,1.393,56
2026-08-25,14:59,Haute Mer,3.766,65
2026-08-25,21:08,Basse Mer,1.185,63
2026-08-26,03:26,Haute Mer,3.710,62
2026-08-26,09:20,Basse Mer,1.166,70
2026-08-26,15:36,Haute Mer,4.022,79
2026-08-26,21:46,Basse Mer,0.970,77
2026-08-27,03:59,Haute Mer,3.932,74
2026-08-27,09:58,Basse Mer,0.956,83
2026-08-27,16:11,Haute Mer,4.240,92
2026-08-27,22:23,Basse Mer,0.783,88
2026-08-28,04:31,Haute Mer,4.102,84
2026-08-28,10:35,Basse Mer,0.783,92
2026-08-28,16:44,Haute Mer,4.396,101
2026-08-28,22:58,Basse Mer,0.642,95
2026-08-29,05:04,Haute Mer,4.207,90
2026-08-29,11:11,Basse Mer,0.662,97
2026-08-29,17:18,Haute Mer,4.473,105
2026-08-29,23:34,Basse Mer,0.561,98
2026-08-30,05:37,Haute Mer,4.242,92
2026-08-30,11:47,Basse Mer,0.605,98
2026-08-30,17:53,Haute Mer,4.466,105
2026-08-31,00:09,Basse Mer,0.549,97
2026-08-31,06:12,Haute Mer,4.210,90
2026-08-31,12:23,Basse Mer,0.617,95
2026-08-31,18:29,Haute Mer,4.380,100
2026-09-01,00:45,Basse Mer,0.610,92
2026-09-01,06:48,Haute Mer,4.121,85
2026-09-01,13:01,Basse Mer,0.698,88
2026-09-01,19:07,Haute Mer,4.223,91
2026-09-02,01:22,Basse Mer,0.744,84
2026-09-02,07:27,Haute Mer,3.987,77
2026-09-02,13:40,Basse Mer,0.844,78
2026-09-02,19:48,Haute Mer,4.010,79
2026-09-03,02:02,Basse Mer,0.946,73
2026-09-03,08:09,Haute Mer,3.818,68
2026-09-03,14:24,Basse Mer,1.047,66
2026-09-03,20:36,Haute Mer,3.758,64
2026-09-04,02:48,Basse Mer,1.197,61
2026-09-04,09:02,Haute Mer,3.634,57
2026-09-04,15:19,Basse Mer,1.279,54
2026-09-04,21:38,Haute Mer,3.505,50
2026-09-05,03:51,Basse Mer,1.448,49
2026-09-05,10:16,Haute Mer,3.491,49
2026-09-05,16:40,Basse Mer,1.446,45
2026-09-05,23:09,Haute Mer,3.355,41
2026-09-06,05:17,Basse Mer,1.570,46
2026-09-06,11:51,Haute Mer,3.511,50
2026-09-06,18:12,Basse Mer,1.399,48
2026-09-07,00:45,Haute Mer,3.445,46
2026-09-07,06:41,Basse Mer,1.475,54
2026-09-07,13:15,Haute Mer,3.735,63
2026-09-07,19:30,Basse Mer,1.172,62
2026-09-08,01:58,Haute Mer,3.714,62
2026-09-08,07:52,Basse Mer,1.230,71
2026-09-08,14:20,Haute Mer,4.067,82
2026-09-08,20:33,Basse Mer,0.884,81
2026-09-09,02:54,Haute Mer,4.026,80
2026-09-09,08:51,Basse Mer,0.936,90
2026-09-09,15:13,Haute Mer,4.393,100
2026-09-09,21:24,Basse Mer,0.625,98
2026-09-10,03:40,Haute Mer,4.288,95
2026-09-10,09:40,Basse Mer,0.676,104
2026-09-10,15:58,Haute Mer,4.629,114
2026-09-10,22:09,Basse Mer,0.449,109
2026-09-11,04:20,Haute Mer,4.453,104
2026-09-11,10:23,Basse Mer,0.503,112
2026-09-11,16:38,Haute Mer,4.735,120
2026-09-11,22:49,Basse Mer,0.382,113
2026-09-12,04:58,Haute Mer,4.507,107
2026-09-12,11:02,Basse Mer,0.440,113
2026-09-12,17:14,Haute Mer,4.705,118
2026-09-12,23:27,Basse Mer,0.422,111
2026-09-13,05:33,Haute Mer,4.459,104
2026-09-13,11:39,Basse Mer,0.487,107
2026-09-13,17:48,Haute Mer,4.561,110
2026-09-14,06:05,Haute Mer,4.331,97
2026-09-14,12:14,Basse Mer,0.627,97
2026-09-14,18:19,Haute Mer,4.339,97
2026-09-15,00:34,Basse Mer,0.751,92
2026-09-15,06:36,Haute Mer,4.152,87
2026-09-15,12:47,Basse Mer,0.834,84
2026-09-15,18:49,Haute Mer,4.073,82
2026-09-16,01:05,Basse Mer,0.993,78
2026-09-16,07:06,Haute Mer,3.943,75
2026-09-16,13:19,Basse Mer,1.083,70
2026-09-16,19:19,Haute Mer,3.791,66
2026-09-17,01:35,Basse Mer,1.257,64
2026-09-17,07:38,Haute Mer,3.718,62
2026-09-17,13:52,Basse Mer,1.351,56
2026-09-17,19:53,Haute Mer,3.507,50
2026-09-18,02:07,Basse Mer,1.527,49
2026-09-18,08:17,Haute Mer,3.487,49
2026-09-18,14:30,Basse Mer,1.621,42
2026-09-18,20:35,Haute Mer,3.237,35
2026-09-19,02:48,Basse Mer,1.790,36
2026-09-19,09:09,Haute Mer,3.278,37
2026-09-19,15:28,Basse Mer,1.860,29
2026-09-19,21:36,Haute Mer,3.018,22
2026-09-20,04:03,Basse Mer,1.994,26
2026-09-20,10:31,Haute Mer,3.156,30
2026-09-20,17:37,Basse Mer,1.925,25
2026-09-21,00:16,Haute Mer,2.981,20
2026-09-21,06:06,Basse Mer,1.964,27
2026-09-21,12:37,Haute Mer,3.260,36
2026-09-21,18:59,Basse Mer,1.750,34
2026-09-22,01:29,Haute Mer,3.210,33
2026-09-22,07:17,Basse Mer,1.752,41
2026-09-22,13:40,Haute Mer,3.514,50
2026-09-22,19:52,Basse Mer,1.507,50
2026-09-23,02:15,Haute Mer,3.502,50
2026-09-23,08:07,Basse Mer,1.488,58
2026-09-23,14:25,Haute Mer,3.815,68
2026-09-23,20:35,Basse Mer,1.245,67
2026-09-24,02:53,Haute Mer,3.800,67
2026-09-24,08:49,Basse Mer,1.216,75
2026-09-24,15:04,Haute Mer,4.115,85
2026-09-24,21:14,Basse Mer,0.992,83
2026-09-25,03:27,Haute Mer,4.071,82
2026-09-25,09:29,Basse Mer,0.963,91
2026-09-25,15:40,Haute Mer,4.376,100
2026-09-25,21:52,Basse Mer,0.772,97
2026-09-26,04:01,Haute Mer,4.285,94
2026-09-26,10:07,Basse Mer,0.755,102
2026-09-26,16:16,Haute Mer,4.563,110
2026-09-26,22:30,Basse Mer,0.611,106
2026-09-27,04:35,Haute Mer,4.424,102
2026-09-27,10:45,Basse Mer,0.613,109
2026-09-27,16:52,Haute Mer,4.653,115
2026-09-27,23:07,Basse Mer,0.528,110
2026-09-28,05:11,Haute Mer,4.475,105
2026-09-28,11:23,Basse Mer,0.551,110
2026-09-28,17:29,Haute Mer,4.634,114
2026-09-28,23:44,Basse Mer,0.538,109
2026-09-29,05:48,Haute Mer,4.441,103
2026-09-29,12:02,Basse Mer,0.578,105
2026-09-29,18:07,Haute Mer,4.511,107
2026-09-30,00:21,Basse Mer,0.641,102
2026-09-30,06:26,Haute Mer,4.330,97
2026-09-30,12:41,Basse Mer,0.692,96
2026-09-30,18:47,Haute Mer,4.300,95
2026-10-01,01:01,Basse Mer,0.828,91
2026-10-01,07:06,Haute Mer,4.158,87
2026-10-01,13:23,Basse Mer,0.882,83
2026-10-01,19:32,Haute Mer,4.027,80
2026-10-02,01:42,Basse Mer,1.081,77
2026-10-02,07:52,Haute Mer,3.945,75
2026-10-02,14:11,Basse Mer,1.126,69
2026-10-02,20:24,Haute Mer,3.729,63
2026-10-03,02:33,Basse Mer,1.363,63
2026-10-03,08:51,Haute Mer,3.729,63
2026-10-03,15:15,Basse Mer,1.369,55
2026-10-03,21:37,Haute Mer,3.475,48
2026-10-04,03:43,Basse Mer,1.597,51
2026-10-04,10:16,Haute Mer,3.596,55
2026-10-04,16:41,Basse Mer,1.478,50
2026-10-04,23:15,Haute Mer,3.405,44
2026-10-05,05:10,Basse Mer,1.643,51
2026-10-05,11:48,Haute Mer,3.665,59
2026-10-05,18:05,Basse Mer,1.371,56
2026-10-06,00:37,Haute Mer,3.560,53
2026-10-06,06:28,Basse Mer,1.481,62
2026-10-06,13:02,Haute Mer,3.892,72
2026-10-06,19:13,Basse Mer,1.147,70
2026-10-07,01:40,Haute Mer,3.829,68
2026-10-07,07:34,Basse Mer,1.216,78
2026-10-07,14:01,Haute Mer,4.178,88
2026-10-07,20:10,Basse Mer,0.904,86
2026-10-08,02:32,Haute Mer,4.113,85
2026-10-08,08:28,Basse Mer,0.944,93
2026-10-08,14:51,Haute Mer,4.433,103
2026-10-08,20:59,Basse Mer,0.706,100
2026-10-09,03:15,Haute Mer,4.343,98
2026-10-09,09:15,Basse Mer,0.728,105
2026-10-09,15:34,Haute Mer,4.597,112
2026-10-09,21:42,Basse Mer,0.586,109
2026-10-10,03:54,Haute Mer,4.484,106
2026-10-10,09:57,Basse Mer,0.605,110
2026-10-10,16:12,Haute Mer,4.647,115
2026-10-10,22:21,Basse Mer,0.557,112
2026-10-11,04:31,Haute Mer,4.526,108
2026-10-11,10:36,Basse Mer,0.584,110
2026-10-11,16:48,Haute Mer,4.588,112
2026-10-11,22:57,Basse Mer,0.614,109
2026-10-12,05:05,Haute Mer,4.480,105
2026-10-12,11:12,Basse Mer,0.655,104
2026-10-12,17:20,Haute Mer,4.445,103
2026-10-12,23:31,Basse Mer,0.742,101
2026-10-13,05:36,Haute Mer,4.367,99
2026-10-13,11:46,Basse Mer,0.795,96
2026-10-13,17:50,Haute Mer,4.249,92
2026-10-14,06:05,Haute Mer,4.211,90
2026-10-14,12:18,Basse Mer,0.981,85
2026-10-14,18:19,Haute Mer,4.026,80
2026-10-15,00:32,Basse Mer,1.131,80
2026-10-15,06:35,Haute Mer,4.030,80
2026-10-15,12:50,Basse Mer,1.193,73
2026-10-15,18:49,Haute Mer,3.792,66
2026-10-16,01:02,Basse Mer,1.356,67
2026-10-16,07:08,Haute Mer,3.830,68
2026-10-16,13:23,Basse Mer,1.417,60
2026-10-16,19:25,Haute Mer,3.554,53
2026-10-17,01:34,Basse Mer,1.587,55
2026-10-17,07:47,Haute Mer,3.622,57
2026-10-17,14:02,Basse Mer,1.641,48
2026-10-17,20:08,Haute Mer,3.328,40
2026-10-18,02:15,Basse Mer,1.813,43
2026-10-18,08:38,Haute Mer,3.430,46
2026-10-18,14:56,Basse Mer,1.842,37
2026-10-18,21:06,Haute Mer,3.149,30
2026-10-19,03:20,Basse Mer,1.995,34
2026-10-19,09:47,Haute Mer,3.310,39
2026-10-19,16:30,Basse Mer,1.931,32
2026-10-19,22:37,Haute Mer,3.089,26
2026-10-20,05:02,Basse Mer,2.018,33
2026-10-20,11:20,Haute Mer,3.341,41
2026-10-20,18:00,Basse Mer,1.815,38
2026-10-21,00:28,Haute Mer,3.249,35
2026-10-21,06:23,Basse Mer,1.847,43
2026-10-21,12:42,Haute Mer,3.541,52
2026-10-21,19:01,Basse Mer,1.593,52
2026-10-22,01:26,Haute Mer,3.527,51
2026-10-22,07:22,Basse Mer,1.592,59
2026-10-22,13:38,Haute Mer,3.825,68
2026-10-22,19:51,Basse Mer,1.334,68
2026-10-23,02:10,Haute Mer,3.836,69
2026-10-23,08:10,Basse Mer,1.312,77
2026-10-23,14:24,Haute Mer,4.129,85
2026-10-23,20:36,Basse Mer,1.074,85
2026-10-24,02:50,Haute Mer,4.129,85
2026-10-24,08:55,Basse Mer,1.044,93
2026-10-24,15:06,Haute Mer,4.402,101
2026-10-24,21:19,Basse Mer,0.847,100
2026-10-25,03:28,Haute Mer,4.372,99
2026-10-25,09:37,Basse Mer,0.819,106
2026-10-25,15:46,Haute Mer,4.601,112
2026-10-25,21:59,Basse Mer,0.685,111
2026-10-26,04:07,Haute Mer,4.538,109
2026-10-26,10:19,Basse Mer,0.662,113
2026-10-26,16:27,Haute Mer,4.694,118
2026-10-26,22:40,Basse Mer,0.611,115
2026-10-27,04:47,Haute Mer,4.610,113
2026-10-27,11:01,Basse Mer,0.592,115
2026-10-27,17:08,Haute Mer,4.669,116
2026-10-27,23:21,Basse Mer,0.635,114
2026-10-28,05:27,Haute Mer,4.587,112
2026-10-28,11:43,Basse Mer,0.618,110
2026-10-28,17:50,Haute Mer,4.533,108
2026-10-29,06:09,Haute Mer,4.480,105
2026-10-29,12:27,Basse Mer,0.734,101
2026-10-29,18:35,Haute Mer,4.310,96
2026-10-30,00:44,Basse Mer,0.945,96
2026-10-30,06:54,Haute Mer,4.307,96
2026-10-30,13:14,Basse Mer,0.920,88
2026-10-30,19:24,Haute Mer,4.039,80
2026-10-31,01:31,Basse Mer,1.181,82
2026-10-31,07:46,Haute Mer,4.100,84
